Index Holdings and weightings as of 5:39 PM ET 09/26/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
META,"Meta Platforms, Inc. Class A",23.69%,297.74,-1.22,-0.41%,36.38 M,88.09 - 326.20
GOOGL,Alphabet Inc A,11.99%,130.54,+1.98,+1.54%,22.72 M,83.34 - 139.16
GOOG,Alphabet Inc C,10.27%,131.46,+2.01,+1.55%,18.75 M,83.45 - 139.93
T,AT&T Inc,4.82%,14.87,-0.15,-1.00%,27.55 M,13.43 - 22.84
TMUS,T-Mobile US Inc,4.71%,139.70,-0.76,-0.54%,3.4 M,124.92 - 154.38
ATVI,Activision Blizzard Inc,4.71%,93.92,-0.08,-0.09%,9.3 M,70.94 - 94.21
CHTR,Charter Communications Inc A,4.69%,433.42,+4.70,+1.10%,1.06 M,297.66 - 457.66
VZ,Verizon Communications Inc,4.55%,32.40,-0.59,-1.79%,22.07 M,31.25 - 44.73
CMCSA,Comcast Corp A,4.54%,44.60,+0.36,+0.81%,16.35 M,28.39 - 47.46
DIS,Walt Disney Co,4.53%,79.90,-0.15,-0.19%,14.64 M,79.75 - 118.18
NFLX,NetFlix Inc,3.96%,377.59,-1.66,-0.44%,3.83 M,211.73 - 485.00
EA,Electronic Arts,3.41%,117.97,-0.39,-0.33%,1.24 M,108.53 - 140.30
WBD,Warner Bros Discovery Inc.,2.77%,11.03,+0.34,+3.18%,20.95 M,8.82 - 16.34
TTWO,Take-Two Interactive Software,2.54%,137.78,+0.40,+0.29%,0.82 M,90.00 - 153.84
OMC,Omnicom Group,1.70%,73.39,-0.07,-0.10%,1.36 M,62.26 - 99.23
MTCH,"Match Group, Inc.",1.33%,39.98,-0.93,-2.26%,3.7 M,30.73 - 54.60
LYV,Live Nation Entertainment Inc.,1.32%,81.02,+1.10,+1.38%,1.7 M,64.25 - 101.74
IPG,Interpublic Group Cos,1.28%,28.73,+0.33,+1.16%,3.45 M,25.50 - 40.95
FOXA,Fox Corp A,0.92%,30.92,-0.03,-0.10%,2.94 M,28.02 - 37.26
NWSA,News Corp A,0.87%,19.65,+0.06,+0.31%,2.33 M,14.87 - 21.69
PARA,Paramount Global Class B,0.70%,12.78,+0.32,+2.57%,9.3 M,12.21 - 25.93
FOX,Fox Corp B,0.44%,28.63,+0.09,+0.32%,1.04 M,26.35 - 34.42
NWS,News Corp B,0.27%,20.39,+0.04,+0.20%,1.4 M,15.15 - 22.14
