Index Holdings and weightings as of 5:39 PM ET 09/26/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
XOM,Exxon Mobil Corp,23.40%,120.20,+3.79,+3.26%,23.96 M,84.81 - 119.92
CVX,Chevron Corp,18.66%,171.04,+3.24,+1.93%,9.12 M,140.46 - 189.68
EOG,EOG Resources,4.63%,129.81,+2.93,+2.31%,2.73 M,98.52 - 150.88
SLB,Schlumberger Ltd,4.47%,60.80,+1.67,+2.82%,7.66 M,33.86 - 62.78
COP,ConocoPhillips,4.45%,123.09,+3.55,+2.97%,5.36 M,91.53 - 138.49
MPC,Marathon Petroleum Corp.,4.31%,152.43,+1.41,+0.93%,2.71 M,93.10 - 159.50
PSX,Phillips 66,3.79%,120.80,+1.38,+1.16%,2.79 M,75.39 - 125.19
PXD,Pioneer Natural Resources,3.79%,234.09,+6.22,+2.73%,2.32 M,177.27 - 274.70
VLO,Valero Energy Corp,3.57%,143.95,+2.37,+1.67%,3.64 M,99.30 - 160.16
HES,Hess Corp,3.00%,158.04,+6.00,+3.95%,3.1 M,100.49 - 165.43
OXY,Occidental Petroleum,2.99%,65.60,+2.45,+3.88%,11.67 M,55.51 - 76.11
WMB,The Williams Companies Inc,2.91%,34.10,+0.52,+1.55%,5.59 M,27.80 - 35.46
OKE,ONEOK Inc,2.68%,64.51,+0.03,+0.05%,8.83 M,50.56 - 71.57
HAL,Halliburton Co,2.61%,42.03,+1.24,+3.04%,5.78 M,23.53 - 43.42
BKR,Baker Hughes Company,2.57%,36.25,+0.54,+1.51%,6.93 M,20.60 - 37.58
KMI,Kinder Morgan Inc,2.28%,16.66,+0.19,+1.15%,12.84 M,16.00 - 19.36
DVN,Devon Energy Corp,2.15%,48.84,+1.89,+4.03%,12.02 M,44.03 - 78.82
FANG,Diamondback Energy Inc,1.95%,157.23,+4.17,+2.72%,3.03 M,111.73 - 168.95
CTRA,Coterra Energy Inc,1.42%,27.14,+0.80,+3.04%,4.94 M,22.25 - 31.76
TRGP,Targa Resources Corp,1.35%,86.59,+2.24,+2.66%,1.65 M,57.63 - 87.86
MRO,Marathon Oil Corp,1.14%,27.39,+1.10,+4.18%,13.81 M,20.57 - 33.42
EQT,EQT Corporation,1.00%,39.61,+0.65,+1.67%,6.98 M,28.11 - 45.91
APA,APA Corporation,0.90%,42.38,+1.33,+3.24%,4.19 M,30.67 - 50.58
