Ticker,Industry_Sector,Industry_group
AAPL,Technology,Computers
MSFT,Technology,Software
AMZN,Communications,Internet
NVDA,Technology,Semiconductors
GOOGL,Communications,Internet
GOOG,Communications,Internet
TSLA,"Consumer, Cyclical",Auto Manufacturers
META,Communications,Internet
BRK.B,Financial,Insurance
XOM,Energy,Oil&Gas
UNH,"Consumer, Non-cyclical",Healthcare-Services
LLY,"Consumer, Non-cyclical",Pharmaceuticals
JPM,Financial,Banks
V,Financial,Diversified Finan Serv
JNJ,"Consumer, Non-cyclical",Pharmaceuticals
AVGO,Technology,Semiconductors
PG,"Consumer, Non-cyclical",Cosmetics/Personal Care
MA,Financial,Diversified Finan Serv
HD,"Consumer, Cyclical",Retail
CVX,Energy,Oil&Gas
MRK,"Consumer, Non-cyclical",Pharmaceuticals
ADBE,Technology,Software
ABBV,"Consumer, Non-cyclical",Pharmaceuticals
COST,"Consumer, Cyclical",Retail
PEP,"Consumer, Non-cyclical",Beverages
CSCO,Communications,Telecommunications
KO,"Consumer, Non-cyclical",Beverages
WMT,"Consumer, Cyclical",Retail
CRM,Technology,Software
TMO,"Consumer, Non-cyclical",Healthcare-Products
ACN,Technology,Computers
MCD,"Consumer, Cyclical",Retail
NFLX,Communications,Internet
BAC,Financial,Banks
PFE,"Consumer, Non-cyclical",Pharmaceuticals
ORCL,Technology,Software
LIN,Basic Materials,Chemicals
CMCSA,Communications,Media
ABT,"Consumer, Non-cyclical",Healthcare-Products
AMD,Technology,Semiconductors
DHR,"Consumer, Non-cyclical",Healthcare-Products
INTU,Technology,Software
INTC,Technology,Semiconductors
WFC,Financial,Banks
TXN,Technology,Semiconductors
COP,Energy,Oil&Gas
DIS,Communications,Media
CAT,Industrial,Machinery-Constr&Mining
PM,"Consumer, Non-cyclical",Agriculture
VZ,Communications,Telecommunications
LOW,"Consumer, Cyclical",Retail
IBM,Technology,Computers
NEE,Utilities,Electric
AMGN,"Consumer, Non-cyclical",Biotechnology
UNP,Industrial,Transportation
SPGI,"Consumer, Non-cyclical",Commercial Services
AMAT,Technology,Semiconductors
QCOM,Technology,Semiconductors
BMY,"Consumer, Non-cyclical",Pharmaceuticals
NKE,"Consumer, Cyclical",Apparel
BA,Industrial,Aerospace/Defense
HON,Industrial,Electronics
GE,Industrial,Miscellaneous Manufactur
RTX,Industrial,Aerospace/Defense
NOW,Technology,Software
UPS,Industrial,Transportation
BKNG,Communications,Internet
DE,Industrial,Machinery-Diversified
PLD,Financial,REITS
SBUX,"Consumer, Cyclical",Retail
MS,Financial,Banks
ISRG,"Consumer, Non-cyclical",Healthcare-Products
MDT,"Consumer, Non-cyclical",Healthcare-Products
