Name,Ticker,Identifier,SEDOL,Weight,Shares Held
APPLE INC,AAPL,37833100,2046251,7.22925,162476265
MICROSOFT CORP,MSFT,594918104,2588173,6.616577,81710858
AMAZON.COM INC,AMZN,23135106,2000019,3.230044,98096208
NVIDIA CORP,NVDA,67066G104,2379504,3.111296,27177797
ALPHABET INC CL A,GOOGL,02079K305,BYVY8G0,2.135222,65280589
ALPHABET INC CL C,GOOG,02079K107,BYY88Y7,1.850136,56184341
TESLA INC,TSLA,88160R101,B616C79,1.815108,29619241
META PLATFORMS INC CLASS A,META,30303M102,B7TL820,1.769952,24320776
BERKSHIRE HATHAWAY INC CL B,BRK.B,84670702,2073390,1.72493,19606185
EXXON MOBIL CORP,XOM,30231G102,2326618,1.238159,44449525
UNITEDHEALTH GROUP INC,UNH,91324P102,2917766,1.187566,10235949
ELI LILLY + CO,LLY,532457108,2516152,1.179615,8660148
JPMORGAN CHASE + CO,JPM,46625H100,2190385,1.132922,32128171
VISA INC CLASS A SHARES,V,92826C839,B2PZN04,1.065328,17790979
JOHNSON + JOHNSON W/D,JNJ,478160104,2475833,1.017199,26463987
BROADCOM INC,AVGO,11135F101,BDZ78H9,0.972137,4581529
PROCTER + GAMBLE CO/THE,PG,742718109,2704407,0.95874,25905479
MASTERCARD INC   A,MA,57636Q104,B121557,0.924625,9199422
HOME DEPOT INC,HD,437076102,2434209,0.882897,11133373
CHEVRON CORP,CVX,166764100,2838555,0.79281,19559163
MERCK + CO. INC.,MRK,58933Y105,2778844,0.722656,27896950
ADOBE INC,ADBE,00724F101,2008154,0.689348,5042926
ABBVIE INC,ABBV,00287Y109,B92SR70,0.686676,19386281
COSTCO WHOLESALE CORP,COST,22160K105,2701271,0.648016,4872801
PEPSICO INC,PEP,713448108,2681511,0.642802,15123211
CISCO SYSTEMS INC,CSCO,17275R102,2198163,0.625846,45010051
COCA COLA CO/THE,KO,191216100,2206657,0.611096,42738001
WALMART INC,WMT,931142103,2936921,0.604853,15398978
SALESFORCE INC,CRM,79466L302,2310525,0.580269,10763527
THERMO FISHER SCIENTIFIC INC,TMO,883556102,2886907,0.553643,4240649
ACCENTURE PLC CL A,ACN,G1151C101,B4BNMY3,0.551102,6943029
MCDONALD S CORP,MCD,580135101,2550707,0.537589,8023389
NETFLIX INC,NFLX,64110L106,2857817,0.530274,4890279
BANK OF AMERICA CORP,BAC,60505104,2295677,0.52641,76224192
PFIZER INC,PFE,717081103,2684703,0.518911,62065140
ORACLE CORP,ORCL,68389X105,2661568,0.511689,16918607
LINDE PLC,LIN,G54950103,BNZHB81,0.501873,5382705
COMCAST CORP CLASS A,CMCSA,20030N101,2044545,0.4998,45729232
ABBOTT LABORATORIES,ABT,2824100,2002305,0.473025,19146777
ADVANCED MICRO DEVICES,AMD,7903107,2007849,0.470655,17705014
DANAHER CORP,DHR,235851102,2250870,0.456441,7301332
INTUIT INC,INTU,461202103,2459020,0.414126,3089969
INTEL CORP,INTC,458140100,2463247,0.412513,45856955
WELLS FARGO + CO,WFC,949746101,2649100,0.411636,41252653
TEXAS INSTRUMENTS INC,TXN,882508104,2885409,0.406694,9948625
CONOCOPHILLIPS,COP,20825C104,2685717,0.398276,13303511
WALT DISNEY CO/THE,DIS,254687106,2270726,0.395152,20059520
CATERPILLAR INC,CAT,149123101,2180201,0.389916,5665947
PHILIP MORRIS INTERNATIONAL,PM,718172109,B2PKRQ3,0.387372,17022331
VERIZON COMMUNICATIONS INC,VZ,92343V104,2090571,0.383451,46118212
LOWE S COS INC,LOW,548661107,2536763,0.366202,6556378
INTL BUSINESS MACHINES CORP,IBM,459200101,2005973,0.359564,9983272
NEXTERA ENERGY INC,NEE,65339F101,2328915,0.355479,22245857
AMGEN INC,AMGN,31162100,2023607,0.355164,5863351
UNION PACIFIC CORP,UNP,907818108,2914734,0.346842,6699363
S+P GLOBAL INC,SPGI,78409V104,BYV2325,0.345565,3604150
APPLIED MATERIALS INC,AMAT,38222105,2046552,0.344951,9257414
QUALCOMM INC,QCOM,747525103,2714923,0.341496,12241442
BRISTOL MYERS SQUIBB CO,BMY,110122108,2126335,0.335256,23096962
NIKE INC  CL B,NKE,654106103,2640147,0.330103,13545738
BOEING CO/THE,BA,97023105,2108601,0.329624,6217210
HONEYWELL INTERNATIONAL INC,HON,438516106,2020459,0.328182,7311872
GENERAL ELECTRIC CO,GE,369604301,BL59CR9,0.327317,11941434
RTX CORP,RTX,7.55E+105,BM5M5Y3,0.326802,16087185
SERVICENOW INC,NOW,81762P102,B80NXX8,0.326148,2240154
UNITED PARCEL SERVICE CL B,UPS,911312106,2517382,0.314616,7968375
BOOKING HOLDINGS INC,BKNG,09857L108,BDRXDB4,0.310278,406058
DEERE + CO,DE,244199105,2261203,0.299256,2969423
PROLOGIS INC,PLD,74340W103,B44WZD7,0.298815,10120207
STARBUCKS CORP,SBUX,855244109,2842255,0.294577,12620839
MORGAN STANLEY,MS,617446448,2262314,0.293714,14346721
INTUITIVE SURGICAL INC,ISRG,46120E602,2871301,0.288132,3847699
MEDTRONIC PLC,MDT,G5960L103,BTN1Y11,0.286777,14606656
GOLDMAN SACHS GROUP INC,GS,38141G104,2407966,0.285521,3655036
ELEVANCE HEALTH INC,ELV,36752103,BSPHGL4,0.281828,2606315
TJX COMPANIES INC,TJX,872540109,2989301,0.280088,12686273
AT+T INC,T,00206R102,2831811,0.27817,78269814
AUTOMATIC DATA PROCESSING,ADP,53015103,2065308,0.276496,4550205
BLACKROCK INC,BLK,09247X101,2494504,0.276143,1647156
STRYKER CORP,SYK,863667101,2853688,0.260386,3702576
MARSH + MCLENNAN COS,MMC,571748102,2567741,0.256512,5437470
LOCKHEED MARTIN CORP,LMT,539830109,2522096,0.255557,2478092
MONDELEZ INTERNATIONAL INC A,MDLZ,609207105,B8CKK03,0.253843,14973679
AMERICAN EXPRESS CO,AXP,25816109,2026082,0.251159,6534706
LAM RESEARCH CORP,LRCX,512807108,2502247,0.25094,1481646
GILEAD SCIENCES INC,GILD,375558103,2369174,0.24729,13693133
ANALOG DEVICES INC,ADI,32654105,2032067,0.246656,5565766
EATON CORP PLC,ETN,G29183103,B8KQN82,0.24604,4366991
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,0.236439,2822871
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,0.235008,1180472
SCHWAB (CHARLES) CORP,SCHW,808513105,2779397,0.231587,16338188
